date,lat,latd,long,longd,depth,mag
2017-02-22 15:10:00,23.93,S,67.34,W,233.0,3.5
2017-02-22 14:56:00,47.3,N,23.79,E,3.0,2.6
2017-02-22 14:49:00,21.51,S,67.15,W,234.0,3.3
2017-02-22 14:03:00,6.56,N,73.5,W,113.0,3.6
2017-02-22 13:41:00,39.52,N,26.06,E,16.0,2.1
2017-02-22 13:17:00,39.88,N,33.05,E,8.0,2.0
2017-02-22 13:04:00,2.29,N,132.7,E,10.0,4.5
2017-02-22 12:20:00,46.38,N,1.02,W,2.0,2.7
2017-02-22 11:58:00,15.95,N,98.82,W,16.0,3.9
2017-02-22 11:51:00,25.61,S,70.94,W,10.0,4.5
2017-02-22 11:47:00,39.55,N,26.09,E,6.0,2.1
2017-02-22 11:44:00,39.57,N,26.08,E,4.0,2.9
2017-02-22 11:32:00,39.52,N,26.23,E,2.0,2.0
2017-02-22 11:00:00,15.82,N,92.78,W,163.0,3.6
2017-02-22 10:59:00,19.21,N,65.4,W,37.0,3.1
2017-02-22 10:54:00,42.62,N,13.23,E,14.0,2.5
2017-02-22 10:54:00,38.98,N,54.95,E,10.0,4.4
2017-02-22 10:36:00,6.79,N,73.16,W,144.0,3.3
2017-02-22 10:13:00,16.0,N,94.08,W,96.0,3.6
2017-02-22 10:11:00,38.71,N,20.6,E,8.0,2.2
2017-02-22 10:05:00,15.11,N,92.22,W,3.0,2.5
2017-02-22 09:51:00,40.2,N,30.77,E,17.0,2.2
2017-02-22 09:50:00,2.22,N,75.95,W,4.0,2.0
2017-02-22 09:47:00,20.93,S,178.4,W,568.0,4.9
2017-02-22 09:47:00,40.13,S,73.19,W,41.0,3.5
2017-02-22 09:43:00,15.62,N,95.51,W,14.0,3.7
2017-02-22 09:29:00,45.66,N,26.76,E,139.0,3.6
2017-02-22 09:08:00,38.76,N,37.98,E,8.0,2.6
2017-02-22 09:06:00,19.55,N,103.9,W,51.0,3.5
2017-02-22 09:03:00,40.49,N,49.12,E,44.0,3.5
2017-02-22 09:02:00,15.72,S,173.4,W,10.0,4.7
2017-02-22 08:57:00,36.75,N,97.65,W,2.0,3.0
2017-02-22 08:45:00,16.39,N,97.91,W,3.0,3.6
2017-02-22 08:43:00,39.53,N,26.14,E,4.0,2.2
2017-02-22 08:41:00,38.07,N,35.38,E,5.0,2.1
2017-02-22 08:25:00,60.84,S,51.38,W,48.0,5.3
2017-02-22 08:12:00,15.75,N,96.35,W,36.0,3.9
2017-02-22 08:10:00,15.82,N,93.03,W,49.0,3.6
2017-02-22 07:54:00,15.87,N,98.95,W,16.0,3.7
2017-02-22 07:53:00,39.04,N,37.28,E,5.0,2.0
2017-02-22 07:46:00,24.79,S,69.1,W,106.0,3.7
2017-02-22 07:18:00,22.55,S,68.97,W,89.0,3.2
2017-02-22 07:03:00,39.55,N,26.06,E,3.0,2.3
2017-02-22 07:01:00,16.53,N,98.51,W,4.0,3.6
2017-02-22 06:54:00,17.81,N,97.97,W,56.0,3.5
2017-02-22 06:41:00,5.16,N,76.13,W,59.0,2.9
2017-02-22 06:12:00,42.38,N,1.26,E,2.0,2.9
2017-02-22 05:39:00,17.52,N,94.89,W,132.0,3.6
2017-02-22 05:39:00,43.43,N,12.65,E,9.0,2.5
2017-02-22 05:34:00,16.35,N,97.85,W,2.0,3.5
2017-02-22 05:33:00,39.53,N,26.11,E,5.0,2.0
2017-02-22 05:31:00,4.79,N,127.5,E,71.0,5.2
2017-02-22 05:31:00,4.67,S,121.9,E,10.0,3.3
2017-02-22 05:31:00,39.55,N,26.04,E,9.0,3.0
2017-02-22 05:24:00,39.57,N,26.06,E,2.0,2.4
2017-02-22 05:10:00,39.55,N,26.1,E,5.0,2.3
2017-02-22 05:08:00,39.54,N,26.11,E,13.0,2.0
2017-02-22 05:04:00,39.55,N,26.09,E,10.0,2.1
2017-02-22 05:02:00,39.5,N,26.21,E,5.0,2.1
2017-02-22 04:50:00,47.04,N,9.23,E,7.0,1.7
2017-02-22 04:47:00,19.14,N,67.85,W,77.0,3.0
2017-02-22 04:30:00,42.62,N,13.23,E,12.0,3.5
2017-02-22 04:25:00,39.53,N,26.01,E,8.0,2.1
2017-02-22 04:23:00,42.61,N,13.24,E,14.0,2.6
2017-02-22 04:17:00,19.09,N,68.07,W,47.0,3.1
2017-02-22 03:24:00,46.32,N,143.4,E,330.0,3.4
2017-02-22 03:08:00,35.99,N,119.8,W,6.0,2.3
2017-02-22 03:05:00,42.79,N,13.09,E,11.0,3.0
2017-02-22 02:57:00,24.27,N,121.7,E,16.0,4.0
2017-02-22 02:47:00,39.57,N,26.1,E,5.0,2.0
2017-02-22 02:47:00,38.65,N,43.39,E,12.0,2.0
2017-02-22 02:43:00,39.56,N,26.08,E,5.0,2.0
2017-02-22 02:40:00,16.25,N,98.02,W,11.0,4.1
2017-02-22 02:15:00,41.83,N,77.62,E,10.0,3.8
2017-02-22 02:11:00,39.56,N,26.13,E,2.0,2.0
2017-02-22 01:59:00,39.56,N,26.07,E,8.0,2.2
2017-02-22 01:57:00,27.94,N,57.74,E,28.0,4.2
2017-02-22 01:39:00,39.56,N,26.13,E,2.0,2.7
2017-02-22 01:34:00,39.57,N,26.06,E,5.0,2.2
2017-02-22 01:29:00,39.56,N,26.05,E,6.0,2.5
2017-02-22 01:27:00,20.69,S,68.79,W,106.0,3.8
2017-02-22 01:25:00,39.55,N,26.07,E,9.0,2.6
2017-02-22 01:24:00,39.55,N,26.05,E,10.0,3.8
2017-02-22 01:10:00,46.87,N,6.93,E,8.0,1.8
2017-02-22 00:56:00,15.91,N,98.85,W,16.0,4.2
2017-02-22 00:26:00,39.47,N,30.12,E,7.0,3.2
2017-02-22 00:23:00,16.09,N,98.69,W,16.0,4.1
2017-02-22 00:16:00,46.91,N,6.99,E,0.0,1.8
2017-02-22 00:06:00,39.52,N,26.12,E,5.0,2.0
2017-02-21 23:46:00,39.56,N,26.15,E,2.0,2.8
2017-02-21 23:44:00,42.34,N,1.33,E,2.0,3.0
2017-02-21 23:37:00,42.39,N,1.24,E,6.0,2.6
2017-02-21 23:33:00,40.07,N,31.54,E,18.0,2.2
2017-02-21 23:23:00,39.03,N,29.42,E,8.0,2.2
2017-02-21 23:09:00,39.01,N,29.44,E,8.0,2.1
2017-02-21 22:46:00,36.63,N,120.9,W,1.0,3.3
2017-02-21 22:03:00,39.52,N,26.03,E,7.0,2.0
2017-02-21 21:36:00,38.96,N,15.7,E,184.0,2.7
2017-02-21 21:33:00,39.53,N,26.1,E,5.0,2.5
2017-02-21 21:30:00,61.64,N,151.8,W,93.0,3.4
2017-02-21 21:26:00,36.69,N,116.4,W,6.0,2.0
2017-02-21 20:59:00,41.38,N,25.51,E,10.0,2.9
2017-02-21 20:52:00,39.53,N,26.0,E,14.0,2.0
2017-02-21 20:40:00,19.78,N,65.61,W,130.0,3.6
2017-02-21 20:19:00,40.88,N,36.04,E,5.0,2.3
2017-02-21 20:18:00,42.99,N,12.88,E,7.0,2.9
2017-02-21 20:10:00,17.48,N,62.11,W,10.0,3.8
2017-02-21 20:01:00,24.22,S,67.45,W,172.0,3.9
2017-02-21 19:38:00,42.62,N,13.29,E,11.0,2.5
2017-02-21 19:18:00,39.49,N,26.15,E,13.0,2.0
2017-02-21 19:15:00,39.56,N,26.1,E,7.0,2.2
2017-02-21 19:07:00,39.59,N,26.16,E,5.0,2.1
2017-02-21 18:56:00,36.12,N,22.26,E,12.0,2.7
2017-02-21 18:53:00,38.91,N,27.74,E,10.0,2.5
2017-02-21 18:38:00,37.85,N,23.05,E,10.0,2.7
2017-02-21 18:25:00,42.33,N,1.35,E,2.0,3.0
2017-02-21 18:25:00,36.49,N,28.87,E,27.0,2.0
2017-02-21 17:47:00,40.43,N,21.52,E,17.0,2.1
2017-02-21 17:45:00,42.81,N,13.12,E,11.0,3.0
2017-02-21 17:41:00,30.21,S,71.98,W,46.0,3.5
2017-02-21 17:35:00,35.49,N,5.71,E,10.0,3.5
2017-02-21 17:32:00,39.6,N,34.34,E,7.0,2.3
2017-02-21 17:12:00,39.6,N,34.34,E,5.0,2.5
2017-02-21 17:07:00,39.52,N,26.03,E,9.0,2.1
2017-02-21 17:05:00,39.51,N,26.04,E,11.0,3.2
2017-02-21 16:50:00,43.0,N,13.6,E,28.0,2.9
2017-02-21 16:38:00,35.68,N,97.4,W,9.0,2.5
2017-02-21 16:34:00,36.7,N,121.3,W,4.0,2.5
2017-02-21 16:16:00,36.89,N,21.81,E,1.0,2.2
2017-02-21 15:52:00,35.34,N,23.75,E,5.0,2.1
2017-02-21 15:27:00,33.14,N,116.5,W,8.0,3.0
2017-02-21 14:09:00,19.29,S,63.93,W,597.0,6.5
2017-02-21 13:55:00,6.77,N,73.13,W,145.0,2.5
2017-02-21 13:32:00,36.44,N,71.12,E,80.0,4.2
2017-02-21 13:28:00,38.84,N,123.6,W,7.0,2.9
2017-02-21 13:01:00,30.8,S,71.86,W,10.0,4.8
2017-02-21 12:57:00,15.94,N,98.83,W,15.0,4.2
2017-02-21 12:25:00,39.52,N,26.06,E,8.0,2.2
2017-02-21 12:18:00,38.81,N,122.8,W,3.0,2.0
2017-02-21 12:16:00,36.45,N,11.23,W,31.0,2.1
2017-02-21 12:01:00,16.02,N,98.86,W,16.0,4.1
2017-02-21 11:59:00,19.21,N,155.4,W,35.0,2.2
2017-02-21 11:56:00,16.51,N,98.58,W,10.0,4.8
2017-02-21 11:54:00,16.11,N,98.71,W,16.0,3.8
2017-02-21 11:50:00,40.28,N,27.03,E,5.0,2.0
2017-02-21 11:43:00,16.08,N,98.72,W,16.0,3.8
2017-02-21 11:39:00,38.81,N,122.8,W,2.0,2.4
